domain,count
id.crwdcntrl.net,3
skydeutschland.demdex.net,1
r3---sn-4g5edn6k.c.2mdn.net,1
bid.g.doubleclick.net,3
www.awin1.com,1
edge-mcdn.secure.yahoo.com,1
csp.yahoo.com,1
prod-rtb.ad4mat.net,1
tag.idsync.analytics.yahoo.com,1
creative.mlsat02.de,1
aaa.artefact.com,1
tkdynba.millemedia.de,1
www.yahoo.com,1
5f470077111d954c206c4383a99454e9.safeframe.googlesyndication.com,1
d1513e28a74d71a2139deff0a58f0565.safeframe.googlesyndication.com,1
onevideosync.uplynk.com,1
aka-cdn.adtech.de,1
22.at.atwola.com,1
static-de.ad4mat.net,1
cdn.js7k.com,1
udc.yahoo.com,1
geo.yahoo.com,1
ed232a28a3eb3c02353596319a0a94bd.safeframe.googlesyndication.com,1
sb.scorecardresearch.com,1
tracking.mlsat02.de,1
tkads.millemedia.de,1
ebs08.telekom.de,1
service.idsync.analytics.yahoo.com,1
opus.analytics.yahoo.com,1
casale-match.dotomi.com,1
adserver.adtech.de,1
eu-central-1-web-oao.ssp.yahoo.com,1
ams.creativecdn.com,1
o120960.ingest.sentry.io,1
tags.w55c.net,1
nova.collect.igodigital.com,1
static-assets.qualtrics.com,1
7275979.collect.igodigital.com,1
siteintercept.qualtrics.com,2
eu.qualtrics.com,1
clk.hitrackthat.com,1
znelqjnmge0lswgir-idealo.siteintercept.qualtrics.com,1
personalization-cohort.samp.ext.zooplus.io,1
www.hlserve.com,1
images-eu.ssl-images-amazon.com,1
65bdc9346e3f7e81f601e904381c914e.safeframe.googlesyndication.com,1
funke-d.openx.net,1
prod.uidapi.com,1
ads.rubiconproject.com,1
sync.adotmob.com,2
ats.rlcdn.com,3
id.sharedid.org,1
encrypted-tbn2.gstatic.com,3
oajs.openx.net,1
cdn.id5-sync.com,3
ajax.googleapis.com,2
front.video.funke.press,1
libs.outbrain.com,1
videoclientsservicescalls.outbrain.com,1
aan.amazon.de,1
mcdp-nydc1.outbrain.com,2
consentmanager.mgr.consensu.org,1
images.outbrainimg.com,2
oa.openxcdn.net,1
trx-hub.com,1
visitor.fiftyt.com,3
aud.pubmatic.com,3
sync.go.sonobi.com,1
encrypted-tbn1.gstatic.com,2
b1h.zemanta.com,1
pool.admedo.com,3
f23f026d-af06-45a2-8d42-9222f4656195.prmutv.co,1
cdn-magiclinks.trackonomics.net,1
f23f026d-af06-45a2-8d42-9222f4656195.edge.permutive.app,1
widget-pixels.outbrain.com,3
encrypted-tbn3.gstatic.com,3
cdn.consentmanager.net,2
api.rlcdn.com,3
google-bidout-d.openx.net,1
m.media-amazon.com,1
cm.smadex.com,4
geo.privacymanager.io,2
api.permutive.com,1
prebid-a.rubiconproject.com,1
43f807c0.de.ioam.de,1
pubmatic-match.dotomi.com,3
prebid-server.rubiconproject.com,1
tags.crwdcntrl.net,1
odb.outbrain.com,2
ad2.adfarm1.adition.com,2
d81ec942.de.ioam.de,1
lb40.s400.meetrics.net,1
9a4774f4c328e1777669db9740f117da.safeframe.googlesyndication.com,1
perr.h-cdn.com,1
pixel.condenastdigital.com,2
googlesync.permutive.com,2
4d.condenastdigital.com,2
cbeeaad36e8b5edca6ad78289737bc58.safeframe.googlesyndication.com,1
cache-ssl.celtra.com,1
infinityid.condenastdigital.com,2
eu01.in.treasuredata.com,2
d3acba9f.de.ioam.de,1
cdn.treasuredata.com,2
cdn.parsely.com,2
in.treasuredata.com,2
bd1cec50-00d1-4ce9-9572-785857419a1e.prmutv.co,2
capture.condenastdigital.com,2
p1.parsely.com,2
ssl.hurra.com,1
track.celtra.com,1
ads.celtra.com,1
pixel.moatads.com,1
iqdigital-ams.gscontxt.net,2
75a776af.de.ioam.de,1
2abadd3a58d1ab33fc2d75e6c4ae35d9.safeframe.googlesyndication.com,1
matomo02.itzbund.de,1
js.hs-banner.com,1
webchannel-content.eservice.emarsys.net,1
track.hubspot.com,1
js.hs-analytics.net,1
api.hubapi.com,1
js.hsadspixel.net,1
static.scarabresearch.com,1
accdn.lpsnmedia.net,1
pixels.omnitagjs.com,1
p1.zemanta.com,1
lptag.liveperson.net,1
js.leadinspector.de,1
fo-api.omnitagjs.com,1
4551005.fls.doubleclick.net,1
lo.v.liveperson.net,1
lpcdn.lpsnmedia.net,1
o.adtriba.com,1
cdn.adtriba.com,1
collector-12159.tvsquared.com,1
privacyportal.cookiepro.com,1
encrypted-tbn0.gstatic.com,1
48874b60.de.ioam.de,1
d74aebba2ce86b2eb4bdbd72bf7b7343.safeframe.googlesyndication.com,1
t.visx.net,2
bidswitch-eu.splicky.com,1
greenpeace-de.piwik.pro,1
q.stripe.com,1
e0k754.acquire.io,1
content.zeotap.com,1
5779200.fls.doubleclick.net,1
dcs.audi.com,1
data-d5c733accc.infonline.de,1
app.usercentrics.eu,1
aggregator.service.usercentrics.eu,1
api.usercentrics.eu,1
2dc05d8cb0a5365255d06d8fb90f1e87.safeframe.googlesyndication.com,1
partner.googleadservices.com,2
emea-bmwmc.netmng.com,1
c8d3a31d208afeff74ea0e5756b086d7.safeframe.googlesyndication.com,1
8570f4b3154e0be39cec0ce29836cbf755d873481a76056cca509fc0.trk.sensic.net,1
f94b7c66.de.ioam.de,1
logs1409.xiti.com,1
ssl.zdf.de,1
9cfa604bb201517a06d1076f5e4241de5a72c4cc3efa0fc626046501.trk.sensic.net,1
fmw8mnslnaqs3gjkvmalbjvxrbyay1657285005.nuid.nmrodam.com,1
4ff76a9afc8c18626a70c056ebf891d3cbf46e0864719ddfde0d9649.trk.sensic.net,1
7a182ea5.de.ioam.de,1
lb41.s400.meetrics.net,1
32768f9d0cfee105f0e2d42d6d5dcf6e.safeframe.googlesyndication.com,1
