domain,count
rules.quantcount.com,4
dk8xdfmib9tp9.cloudfront.net,1
bc.brytes.de,1
ecdn.novomind.com,1
in.hotjar.com,2
api.brytes.de,1
clients1.google.com,2
a95e96c33a64483ffc04c7cf441eafbe.safeframe.googlesyndication.com,1
synchrobox.adswizz.com,1
3a531e0213d5bbe199f15cb5eb779d48.safeframe.googlesyndication.com,1
quantyoo.de,1
33419f0d1ccf7527ea6eea951f3e3305.safeframe.googlesyndication.com,1
2a0ea6a6d52032f24aff9e6e6635a24c.safeframe.googlesyndication.com,1
d2fd98194fe9ee24b0f56c7e48c625e8.safeframe.googlesyndication.com,1
static.weekli.systems,1
schwarzwaelder-bote.weekli.de,1
simage4.pubmatic.com,7
native.adscale.de,1
ssp-sync.criteo.com,1
tagrpd.de,1
t.pubmatic.com,1
api-eu.cleverpush.com,1
bbnaut.ibillboard.com,1
bcp.crwdcntrl.net,2
powa-ingest-prod-us-east-1.video-player.arcpublishing.com,1
aorta.clickagy.com,4
static.rndtech.de,1
haz.weekli.de,1
pixel-us-east.rubiconproject.com,3
tpsc-frc.doubleverify.com,1
6d1c48ab.de.ioam.de,1
static-nt.weekli.systems,3
api.oneplatform.rndtech.de,1
d292syca71gp6a.cloudfront.net,1
ce.lijit.com,6
branding.jifo.co,1
buy-eu.piano.io,2
atlas.jifo.co,1
account.rnd.de,1
e.infogram.com,1
cdn.jifo.co,1
54b6574e5f7d9348175d2aca7b3d851c.safeframe.googlesyndication.com,1
c2-eu.piano.io,2
madsack-prod-cdn.video-api.arcpublishing.com,1
images.jifo.co,1
s.infogram.com,1
mst.rnd.de,1
privacy-proxy.usercentrics.eu,5
goetheinstitut01.webtrekk.net,1
b.delivery.consentmanager.net,2
ea0987cd70750d21e1b17846fecec5e8.safeframe.googlesyndication.com,1
services.brid.tv,1
cdn.pbstck.com,4
p.brid.tv,1
pubads.g.doubleclick.net,1
83e7f1cdab8d09a16c4d9030e3ed0c74.safeframe.googlesyndication.com,1
imasdk.googleapis.com,3
signal-beacon.s-onetag.com,4
stats-dev.brid.tv,1
